epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
60,3012.4,0.95515,0.80046,1.2294,0.83736,0.67789,0.75813,0.54489,1.12724,1.14509,1.41415,0.000594321,0.000594321,0.000594321
61,3061.59,0.97195,0.796,1.23901,0.83651,0.68364,0.77256,0.55017,1.13127,1.10594,1.4149,0.000580174,0.000580174,0.000580174
62,3112.23,0.97192,0.79979,1.23565,0.81583,0.6956,0.76726,0.55117,1.13572,1.10314,1.42876,0.000566027,0.000566027,0.000566027
63,3161.66,0.97199,0.80071,1.23965,0.83117,0.68666,0.76615,0.54813,1.11777,1.13087,1.41871,0.00055188,0.00055188,0.00055188
64,3210.86,0.98515,0.79989,1.24687,0.83618,0.68269,0.76544,0.54928,1.1203,1.15223,1.4182,0.000537733,0.000537733,0.000537733
65,3260.07,0.94917,0.77745,1.22682,0.81145,0.70359,0.77217,0.54864,1.13991,1.11276,1.43455,0.000523586,0.000523586,0.000523586
66,3310.35,0.96394,0.78978,1.23339,0.83624,0.68158,0.77229,0.5543,1.11668,1.10073,1.41143,0.000509438,0.000509438,0.000509438
67,3359.77,0.96822,0.79139,1.23222,0.83775,0.68525,0.75568,0.53839,1.12843,1.17409,1.4157,0.000495291,0.000495291,0.000495291
68,3409.03,0.94936,0.76182,1.21468,0.82059,0.70823,0.77026,0.55352,1.1243,1.10634,1.41104,0.000481144,0.000481144,0.000481144
69,3458.28,0.944,0.76495,1.21924,0.82741,0.69562,0.76628,0.55052,1.11383,1.11662,1.41348,0.000466997,0.000466997,0.000466997
70,3507.37,0.94114,0.74202,1.21015,0.82189,0.69065,0.76792,0.55025,1.13177,1.09917,1.42388,0.00045285,0.00045285,0.00045285
71,3557.1,0.93873,0.76292,1.22363,0.83354,0.68896,0.77345,0.5581,1.12563,1.10461,1.40808,0.000438703,0.000438703,0.000438703
72,3607.17,0.92907,0.74389,1.20734,0.81428,0.70043,0.76574,0.55296,1.12868,1.17098,1.41957,0.000424556,0.000424556,0.000424556
